"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 19 16:41:48 IST 2024","Fri Jan 19 16:41:48 IST 2024","0","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_002_clickAddNewROAndSelectUnit","Test_002_Search and select owner","Test Description: Search and select owner"
"skipped","Fri Jan 19 16:41:49 IST 2024","Fri Jan 19 16:41:49 IST 2024","0","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_005_Verify_unit_created","Test_005_Verify unit created and Signout","Test Description: Verify unit created and Signout"
"skipped","Fri Jan 19 16:41:48 IST 2024","Fri Jan 19 16:41:48 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_004_enterFieldsAndClickOnSave","Test_004_Enter unit, description, VIN number and click on Save/Exit","Test Description: Enter unit, description, VIN number and click on Save/Exit"
"skipped","Fri Jan 19 16:41:48 IST 2024","Fri Jan 19 16:41:48 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_003_verifyAllFormFields","Test_003_verify all element present in New Unit ","Test Description:verify all element present in New Unit"
"broken","Fri Jan 19 16:41:48 IST 2024","Fri Jan 19 16:41:48 IST 2024","4","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","initialization","initialization",""
"skipped","Fri Jan 19 16:41:48 IST 2024","Fri Jan 19 16:41:48 IST 2024","6","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_001_gotoUnitMasterScreen","Test_001_Login the page and Go to create unit Screen","Test Description: Login the page and Go to create unit Screen"
