"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","7","8","20","0"
"Regression Test","PartsRelatedItem Test","","0","3","1","5","0"
"Regression Test","CounterSaleManager Test","","0","1","5","0","0"
