"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 11:13:52 IST 2024","Tue Jan 16 11:14:28 IST 2024","35922","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","clickOnGererateJournals_checkbox","Click on dropdown,refresh button,generateJournalize and select check box","Test Description : T_001_Click on dropdown,refresh button,generateJournalize and select check box"
"passed","Tue Jan 16 11:14:58 IST 2024","Tue Jan 16 11:15:41 IST 2024","43482","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","financialManager","Click on Financial manager,verify and sign out the page","Test Description : T_003_Click on Financial manager,verify and sign out the page"
"passed","Tue Jan 16 11:13:22 IST 2024","Tue Jan 16 11:13:51 IST 2024","29237","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","gotoFinancialManager","Login the page and Go to the Financial Manager","Test Description : T_001_Login the page and Go to the Financial Manager"
"passed","Tue Jan 16 11:14:28 IST 2024","Tue Jan 16 11:14:58 IST 2024","29160","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","serviceBoard","Select checkBox ,click on GenerateJournal and service board","Test Description : T_002_Select checkBox ,click on GenerateJournal and service board"
"broken","Tue Jan 16 11:04:20 IST 2024","Tue Jan 16 11:04:20 IST 2024","0","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","generateAllure","generateAllure",""
