"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 10 18:49:17 IST 2024","Wed Jan 10 18:49:54 IST 2024","36549","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","Test_003_enterfieldandclickonOK","Test_003 enter the vendor code and name in the field and click on Ok","Test Description: enter the vendor code and name in the field and click on Ok"
"broken","Wed Jan 10 18:49:54 IST 2024","Wed Jan 10 18:52:38 IST 2024","164043","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","checkVendorName_SignOutPage","Test_004 Check vendor name in search box and sign out the page","Test Description: Check vendor name in search box and sign out the page"
"broken","Wed Jan 10 18:49:05 IST 2024","Wed Jan 10 18:49:17 IST 2024","12407","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","Test_002_VerifyAllformfields","Test_002 verify all the elements from the fields","Test Description: verify all the elements from the fields"
"passed","Wed Jan 10 18:48:29 IST 2024","Wed Jan 10 18:49:05 IST 2024","35540","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","Test_001_gotoVendorsScreen","Test_001 Login to the page and go to vendors screen ","Test Description:  Login to the page and go to vendors screen  "
