"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 16:25:18 IST 2024","Wed Jan 17 16:26:11 IST 2024","52837","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickViewProfitLoss_and_clickOk","Check that click on View Profit and Loss hyperlink,verify and click Ok","Test Description -Check that click on View Profit and Loss hyperlink,verify and click Ok"
"passed","Wed Jan 17 16:23:12 IST 2024","Wed Jan 17 16:24:21 IST 2024","68869","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnTypelink_and_clickOnSelect","Check that click on Type hyperlink, verify the element and click on select button","Test Description - Check that click on Type hyperlink, verify the element and click on select button"
"passed","Wed Jan 17 16:13:23 IST 2024","Wed Jan 17 16:13:57 IST 2024","33806","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","gotoCompleteRoScreen","Login the page and go to the CompleteRo","Test Description -Login the page and go to the CompleteRo"
"passed","Wed Jan 17 16:24:21 IST 2024","Wed Jan 17 16:25:18 IST 2024","56863","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnInvoiceTohyperlink_and_clickOnCancle","Check that click on InvoiceTo hyperlink, verify element and click on cancle button","Test Description - Check that click on InvoiceTo hyperlink, verify element and click on cancle button"
"passed","Wed Jan 17 16:16:30 IST 2024","Wed Jan 17 16:17:27 IST 2024","57852","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnThisIsStandardNote_EnterInternalNote","Check that click on This is Standard Note and enter the text in Internal Note field","Test Description - Check that click on This is Standard Note and enter the text in Internal Note field"
"passed","Wed Jan 17 16:15:26 IST 2024","Wed Jan 17 16:16:30 IST 2024","63102","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","ClickInternalLink_and_EnterText","Check that click on Internal Link and enter the text in Internal Note field","Test Description - Check that click on Internal Link and enter the text in Internal Note field"
"passed","Wed Jan 17 16:28:05 IST 2024","Wed Jan 17 16:29:27 IST 2024","82045","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnUpdateRates_and_SignOut","Check that click on update Rates hyperlink and sign out the page","Test Description -Check that click on update Rates hyperlink and sign out the page"
"passed","Wed Jan 17 16:17:28 IST 2024","Wed Jan 17 16:18:25 IST 2024","57776","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnNotes_and_EnterTextInNoteField","Check that click On Note link, verify the element and enter text in note field and save it ","Test Description -Check that click On Note link, verify the element and enter text in note field and save it "
"passed","Wed Jan 17 16:22:03 IST 2024","Wed Jan 17 16:23:12 IST 2024","68877","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnWIPStatus_and_clickCancle","Check that click on WIP status, verify the element and click on cancle","Test Description - Check that click on WIP status, verify the element and click on cancle"
"passed","Wed Jan 17 16:27:20 IST 2024","Wed Jan 17 16:28:05 IST 2024","44516","Surefire suite","Surefire test","tests.service.ServiceManagerWoLabor","tests.service.ServiceManagerWoLabor","clickOnBacktoCompleteRo_and_ReferenceNumber","Check that click on Back to Complete RO and reference number","Test Description -Check that click on Back to Complete RO and reference number"
