"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 18:24:47 IST 2024","Thu Jan 25 18:25:44 IST 2024","56825","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_001_gotoCustomerScreen","Login the page and go to customer screen","Test Description: Login the page and go to customer screen"
"passed","Thu Jan 25 18:26:36 IST 2024","Thu Jan 25 18:27:01 IST 2024","24628","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_004_searchnameandclickonSignout","Check the Customer name in search field and sign out the page","Test Description : Check the Customer name in search field and sign out the page"
"broken","Thu Jan 25 18:26:15 IST 2024","Thu Jan 25 18:26:36 IST 2024","21539","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_003_enterfieldsandclickonOK","Test_003 enter Customer Code and name in the field and click on OK","Test Description: enter Customer Code and name in the field and click on OK"
"passed","Thu Jan 25 18:25:45 IST 2024","Thu Jan 25 18:26:14 IST 2024","29699","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_002_verifyAllFields","Test_002 verify all elements in the field","Test Description: verify all elements in the field"
