"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","Test_006_clickonMoreInfo","Test_006_click on MoreInfo","Test Description: click on More Info"
"skipped","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","Test_005_gotoUnitMaster","Test_005_Go to Unit Master","Test Description: go to unit master"
"skipped","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","1","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","Test_001_gotoPMInspectionManager","Test_001_Login the page and Go to create unit Screen","Test Description: Login the page and Go to create unit Screen"
"broken","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","1","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","initialization","initialization",""
"skipped","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","Test_002_clickOnUnitInspectionInformation","Test_002_click on Unit Inspection Information ","Test Description: click on Unit Inspection Information "
"skipped","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","Test_004_clickOnAddUnitInspectionInformationTwo","Test_004_click On Add Unit Inspection Information","Test Description: click On Add Unit Inspection Information"
"skipped","Tue Feb 20 16:28:53 IST 2024","Tue Feb 20 16:28:53 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformationALLOWED","tests.fleet.UOMforpressureonInspectionInformationALLOWED","Test_003_clickOnAddUnitInspectionInformation","Test_003_click On Add Unit Inspection Information","Test Description: click On Add Unit Inspection Information"
